"","GSM1134765","GSM1134767","GSM1134769","GSM1134771","GSM1134773","GSM1134775","GSM1134777","GSM1134779","GSM1134781","GSM1134783","GSM1134785","GSM1134787","GSM1134789","GSM1134791","GSM1134793","GSM1134795","GSM1134797","GSM1134799","GSM1134801","GSM1134803","GSM1134804","GSM1134806","GSM1134808","GSM1134810","GSM1134812","GSM1134814","GSM1134816","GSM1134818","GSM1134820","GSM1134822","GSM1134824","GSM1134826","GSM1134828","GSM1134830","GSM1134832","GSM1134834","GSM1134836","GSM1134838","GSM1134840","GSM1134842","GSM1134844","GSM1134846","GSM1134848","GSM1134850","GSM1134852","GSM1134854","GSM1134856","GSM1134858","GSM1134860","GSM1134862","GSM1134864","GSM1134866","GSM1134868","GSM1134870","GSM1134872","GSM1134874","GSM1134876","GSM1134878","GSM1134880","GSM1134882","GSM1134883","GSM1134885","GSM1134887","GSM1134888","GSM1134889","GSM1304420","GSM1304422"
"Activated B cell",0.271273682156074,0.458413826379565,0.350855435735207,0.200173278992759,0.549710136318976,0.533830715571751,0.32396441951787,0.368331777159456,0.484386734154961,0.612028387459485,0.45343237548707,1,0.562330911364346,0.266732874245001,0.735681001999198,0.77040076556642,0.103345718029464,0.431918129143597,0.485398050495793,0.519174272865579,0.514006998994672,0.472044119108019,0.315687530891058,0.350811236109839,0.584243026803442,1,1,0.656111963008591,0.346231424009769,0.475619706744066,0.387456533603155,0.521732019932727,0.334321454335842,0.154275097701973,0.622502360577168,0.511300078342595,0.3338840340487,0.31076027907859,0.435761727436127,0.36592618740501,0.331301222195022,0.30438350799274,0.319005242486439,1,0.518457741462965,0.233001125676756,0.384983982996967,0.719015256661969,0.314943059305488,0.281740937112311,0.207238497434191,0.577848202305927,0.428088062106109,0.343241214862289,0.564618368246535,0.668067892654245,0.581602254784498,0.200499126659997,0.673316277067123,0.514973038376901,0.684510361477678,0.761942495560496,0.574266364980117,0.692717620062264,0.468767456547928,0.757110674507956,0.2235133682059
"Activated CD4 T cell",0.374962327073575,0.438197446866147,0.38089374534163,0,0.485150013922987,0.498347391314594,0.318886854419144,0.0794797328929231,0.532404682592837,0.62676591502184,0.400829619018878,1,0.447293119570252,0.396140016955968,0.445259957406423,0.835433669138545,0.383667408784006,0.612506404384035,0.517265624616762,0.854462650047446,0.572297032966952,0.599569344427737,0.536952673719799,0.0361303176916106,0.695598854183871,1,0.845663625750469,1,0.644290763370758,0.246000851348102,1,0.541015483571906,0.627132081690928,0.663703020261587,0.41574374422603,0.44252353368162,0.309359585601195,0.374501489909916,0.485058404829515,0.307704278147762,0.524729425039039,0.32068354880331,0.199701984539748,0.93821652715228,0.783277944574866,0.426418457635024,0.629864033905153,0.605306867607602,0.215307642878172,0.382105134717009,0.328553090069874,0.364497357862552,0.272366387456208,0.390968843619601,0.859260781045623,0.663142427302758,0.264661690397616,0.29205590387476,0.309793259069163,0.493859035399491,0.403304939452975,0.346034910355736,0.223676813614347,0.527396420610537,0.310021778641891,0.758506357110774,0.263665074397318
"Activated CD8 T cell",0.17678988134001,0.622443316149277,0.302110458796737,0.0302954254638654,0.360602467834274,0.41487235130627,0.288010956495665,0.227274826156055,0.413554137645499,0.7257101424812,0.434806511979813,1,0.370867274711737,0.454652168276037,0.294280646059852,1,0.0609971776189351,0.485132272520171,0.453019137852792,0.886650961279503,0.372061351763924,0.496497309383494,0.639645402579802,0.178655379257354,0.990710367170505,1,0.832340733982407,1,0.506867690127525,0.437147231664184,0.649853968447116,0.361684197818895,0.373327133211537,0.266468178416514,0.492001480205542,0.503132868698302,0.332283753300557,0.277101279245622,0.302586448954662,0.344864865391499,0.389108325098726,0.520420020738119,0.525704788686358,0.989410333010391,0.668926451832062,0.545695372473928,0.72783848088039,0.987584541310288,0.306560557482864,0.391290906539626,0.337677325087835,0.46064294664938,0.343540300014323,0.516643544063261,0.846624384809506,0.836844538591633,0.41408041385644,0.298304388595122,0.530653533402728,0.434061655821678,0.283226766308232,0.314212490610546,0.360581057384795,0.533081958660385,0.481195319052971,0.608807664978613,0.260271426640378
"Activated dendritic cell",0.140745244515324,0.507936850888134,0.426848071200891,0,0.578666169300922,0.324653297707255,0.323532729061941,0.37001273117819,0.617871110148089,0.594973114754623,0.607477909865973,1,0.454926117245117,0.300968233374916,0.419704783240937,0.69246584173959,0,0.429270500932979,0.572642434263411,1,0.457604495759475,0.501232873922832,0.51073384250113,0,0.583268210277265,1,0.853281151150532,0.617069187353922,0.716565617921852,0.261109503676435,0.692650293121187,0.47571022478506,0.414654788730503,0.785361830248566,0.403149151883949,0.590983692977136,0.392456498272621,0.355014562426813,0.30198218546036,0.593451478003345,0.436961278746379,0.413999197198633,0.42227760871627,0.650986504692143,0.737813355942855,0.35114911985421,0.692661309696476,0.606819911675699,0.268787289834915,0.286686137130268,0.360425235114996,0.0835964690710763,0.203671724314172,0.349714599569942,0.735304871380212,0.568721829350502,0.230925311039115,0.331875867076337,0.591358078331976,0.686650110072465,0.702929104662739,0.733318019337142,0.698285518488867,0.75286669878488,0.48269006374646,0.44676132049722,0.652214872924
"CD56bright natural killer cell",0.314181677585785,0.271432976492276,0.472401555151924,0.69599798529191,0.175264046344186,0.331075956688583,0.513724931582139,0.424086312668618,0.58198832220817,0.588525863787308,0.901980659248438,0.574205285010118,0.149675273043763,0.399008823897958,0.53325668301583,0.754942771410945,0.21809986375463,0.438604941403363,0.55321375616249,0.905796091199595,0.177298830178999,0.590966158167296,0.786652899568993,0.780718724635996,0.894313738822383,0.719266114717586,0.556325435911141,0.874257493365562,0.862004012692841,0.301018529752237,0.569930480766363,0.759314369998446,0.323266530821886,0.34292223546196,0.644021981913895,0.302598098600831,0.204940721307947,0.676605431967557,0,0.554286547183633,0.528881928904151,0.701961499350365,0.66160170139818,0.589346726243098,0.619622085456693,0.560280185547371,0.690753969333287,0.670799043783883,0.326896665574948,0.467606192162387,0.326584977605451,0.786565378691741,0.472447607678117,0.451307720412006,0.712697294929677,0.769019094704183,0.529386683301774,0.595251009696569,0,0.438331061689113,0.0650390042759434,0.235856578449235,0,0.405700514273843,0,0.58208012223039,0.855131914492867
"Central memory CD4 T cell",0.406911543916172,0.509313481546737,0.313459142042819,0.277431086719945,0.524675466590615,0.493533005462827,0.25992608260629,0,0.425510801101117,0.646843488244001,0.300135825925235,0.979853505285729,0.46254471595226,0.529570380298159,0.593969090554167,0.779945235504256,0.400501496985514,0.665638152709284,0.565896516648337,0.631574419883031,0.454186452051189,0.631124691325412,0.594239220407892,0,0.631447305245943,1,0.899615016389062,0.811253248385184,0.436812983899183,0.584791290114236,0.571880960476608,0.8077585675962,0.599899273889731,0.47349262329429,0.743544682902543,0.385829099293331,0.350565260131925,0.485095285996313,0.671733373801663,0.483189442919029,0.564102750983526,0.331186795832564,0.437356481399266,0.868102058537584,0.780936717643892,0.459388670256175,0.606915395400952,0.481901666510645,0.211488873223083,0.365984057356489,0.23689878668937,0.0734860198836413,0.283144026053419,0.59570702391246,0.599806206005533,0.843939203040832,0.105041202502297,0.208160038516341,0.318909956037559,0.620333399688551,0.443493521966795,0.629352985426193,0.784748405319601,0.0476175285392196,0.525124893652318,0.544522738858816,0.655619808987102
"Central memory CD8 T cell",0.151810973431622,0.429356281240762,0.337900062617432,0.0142084757899352,0.536307768499294,0.249772273737144,0.259243034806329,0,0.360380506547686,0.545891040121868,0.433270333465255,0.806564163037588,0.412657279870893,0.38177716108698,0.341139025495892,0.489830845905414,0,0.439763722066362,0.538420859467884,0.282554620762168,0.665178364507289,0.619915081526639,0.510639462461225,0.197628108018006,0.569561478967865,0.836153524693781,0.925572760130824,0.496160265897992,0.706864869816123,0.0494121028175407,0.823864953031463,0.615839197861389,0.615502124671463,0.604777588662426,0.705850771832176,0.485103541085566,0.461803832345137,0.51962530378805,0.522728589763918,0.508743325783585,0.727672758649011,0.492451893404175,0.427031604570497,0.76754638197004,0.908333264774436,0.595362527813325,0.954023056762179,0.748361851152226,0.569561257401116,0.472124517645658,0.464326738635357,0.540651517276407,0.569008926242256,0.452932553858564,0.990557646363057,1,0.0488257721142198,0.474138781026843,0.161492840693553,0.847234037261711,0.385713455924083,0.642410652167792,0.363599590057964,0.184369471330924,0.139248130155793,0.731205307223911,0.508379558039683
"Effector memeory CD4 T cell",0.345270293685398,0.356392731782623,0.444459597950378,0.47853995296789,0.461836096605085,0.764002672271883,0.565234995055394,0,0.354720848273226,0.303071087495411,0.578595928116064,1,0.58454522932295,0.640282394458853,0.267315082676322,0.66805544759166,0.77262260874041,0.782488700416641,0.74953937939985,0.601072472942106,0.660468917437444,0.753173261328124,0.634421678170803,0.126741136548642,0.461850542178553,0.900166935241092,0.960329420406296,0.895712410275353,0.632195798440303,0.447520903372302,0.518030477587426,0.519776574383936,0.32409423591328,0.859665843293066,0.583888296348793,0.484166199406988,0.399994638147156,0.230649523608117,0.52096326222188,0.3976172326805,0.609138411495366,0.438066523135326,0.278303900031794,0.736603711635624,0.846854137932908,0.470574721952889,0.422849050204348,0.296474673904153,0.188729843658334,0.554941609473842,0.217797418602171,0.133888887609641,0.837049456301624,0.535981837342747,0.588958843100707,0.692894460508178,0.129844860329025,0.26156178461978,0.177007498894953,0.420182596654173,0,0.535203355119718,0.332078988938454,0.287386226399923,0.247892207169911,0.882684710686737,0.590881790226042
"Effector memeory CD8 T cell",0.313591057930111,0.437023503185967,0.477153676322206,0,0.718763111783286,0.597780225163012,0.373771100666237,0,0.661397457634817,0.686005949853964,0.384202521874788,1,0.662473933014909,0.563504139788224,0.51399967428045,0.717341022848143,0.304030443435811,0.455278366673164,0.630839598608006,0.736563226882549,0.485600240812092,0.476409254223725,0.561785494993535,0.0222635963806508,0.671724739830468,1,1,0.774152856921812,0.283533441350832,0.467676873375109,0.341075161978045,0.583232849230473,0.28477379544899,0.237005700766512,0.689652326582174,0.462976748333141,0.259906691276729,0.411929665074103,0.375540942763337,0.454012025901443,0.54211697203187,0.205078473389207,0.500966997396616,1,0.880431113091617,0.499951652996366,0.641045238022625,0.688031955968703,0.355758209853315,0.516307525689339,0.176211330769284,0.296584776770768,0.566104005013274,0.41935584793632,0.698044457184088,0.868390475415606,0.393451192601152,0.229879872131388,0.42874269678292,0.507263488920215,0.371733161897467,0.702962622847075,0.395587581580566,0.324526618394184,0.280874355586244,0.506761305910026,0.207653667691706
"Gamma delta T cell",0.320497566803154,0.623861586336349,0.365642218812544,0.153283578947293,0.331678336882342,0.400130189857879,0.26861451904123,0.127898134026933,0.245417076780215,0.345534134421692,0.335761054058573,0.915110158929577,0.34852093146401,0.465018379161465,0.255640480101383,0.53434846209085,0,0.611569207262553,0.143789206793361,0.835273930556328,0.660517603849388,0.489469259255603,0.547969495156896,0.0973545969610407,0.653738608322073,0.716913897923121,1,0.657869875213887,0.799479555517578,0.111643529094873,0.832737017391308,0.745515711627051,0.723524320668493,0.495165312028332,0.702498306043276,0.516110486468116,0.548695463410041,0.81086983716105,0.407163580316677,0.364764057986822,0.794796160911867,0.340876520660118,0.481572292899366,0.645470115365038,0.921716637778407,0.587383367700488,0.772058205616775,0.440645302720611,0.592911066896567,0.577911472991623,0.628702213134562,0.3334372179896,0.407074653262251,0.556526939008043,0.972961473283701,0.929107831822933,0.375050019759577,0.387247796800032,0.249257097296799,0.255456239284326,0.221813412590573,0.244497934355911,0.297896803189615,0.192490989728219,0.27816859113459,0.771519848533395,0.617302692962618
"Immature  B cell",0.154797591141762,0.585978091282732,0.28403603178751,0.0782220303102257,0.332461717927399,0.627791356035368,0.246917424113895,0.157128816234738,0.568043187561975,0.40837222460028,0.514490619003863,1,0.752068962344249,0.379762019947888,0.534373837075975,0.787019317324342,0.125858611069398,0.510885531954311,0.414291857413959,0.781750987410357,0.3570174865594,0.346822998965792,0.617135576008384,0,0.570656718530293,1,0.971254058169699,0.762583852508069,0.372638095452802,0.630825580743187,0.297187151021707,0.391348994758948,0.363739679143319,0.529369555747975,0.632566411203725,0.597168517821357,0.568690720457121,0.314665126054402,0.595462815389614,0.41378263604962,0.383716689415497,0.127200643434637,0.377829272089636,1,0.389903568602889,0.464837459706338,0.573311925809578,0.818600422893822,0.113348527846063,0.407772275631194,0.112737139415231,0.164241304801833,0.506828325518233,0.409512159635858,0.67621051873867,0.846265644278489,0.547816606904747,0.387067859629569,0.790118158609016,0.655051619331792,0.849508001908163,0.659350598867929,0.572380945927118,0.9115812393135,0.291925940465746,0.41886503721254,0.327060078203179
"Memory B cell",0.314548052901201,0.375756869423,0.381284190851131,0.323967882082651,0.577684759148397,0.23656044221674,0.193130291712014,0.17557790063965,0.390351676859765,0.32872881745468,0.599180668276327,0.872962826874513,0.258016693481449,0.224290770157197,0.362147069454893,0.647571838652609,0.118870894120945,0.430919845871928,0.53401787584574,0.52348773893857,0.576551527865024,0.605750222779199,0.245161459103574,0.367982937185424,0.449969761751588,0.559805713373202,0.985667973840612,0.665759866737438,0.237799477067118,0.769870892684241,0.351519037050078,0.861979674134065,0.786328168806487,0.421556945298133,0.583451519207377,0.381110654977396,0.427676257335018,0.679882335631026,0.26655187146647,0.400928620162228,0.630899997434011,0.387129307326483,0.355387010831058,0.921947118218122,0.706166742204093,0.282221737636736,0.353666774269375,0.503201629016744,0.153925334779545,0.377121371235541,0.275891295381549,0.408467745700796,0.443240266790591,0.305911677106972,0.494627559457857,1,0.502392307920601,0.432532685506281,1,0.301280236827518,0.723947586293997,0.809786218176378,0.419978543333956,1,0.498649927429842,0.804978793361557,0.335191318166179
"Natural killer cell",0.176549498752507,0.607450004595287,0.415474838326746,0.178880519967377,0.749204928724121,0.820492932605558,0.47109413692765,0,0.660698374890917,0.757900952002076,0.481888059442469,0.751836040148557,0.565890407574953,0.460822399756641,0.310726949347868,0.975715693952366,0.475294308697444,0.435764418010365,0.547406415485365,0.812788136005459,0.644424959888445,0.449274705922893,0.472864047419158,0,0.759613411565519,0.725369666966406,0.871263899561564,0.678204326290476,0.45462019755722,0.358855921806737,0.313879916659032,0.702427462906957,0.404129160966739,0.299463643412212,0.632318772682453,0.567713815739881,0.414749423113984,0.440776532628937,0.489982999337449,0.174130690926824,0.546366566726553,0.304358055046753,0.482976909927127,0.767298085440709,0.771753303110643,0.551107004939576,0.476152961492055,0.741487255771946,0.543677886646197,0.571110629234613,0.339131597532181,0.245967356768483,0.560795357254303,0.664099963165525,0.782678774386853,0.942569705574615,0,0.548495480302323,0.275573111144632,0.59695615893856,0.390803227411843,0.47208972990823,0.326346682717035,0.0981852997844734,0.233502958776172,0.806011756427122,0.560745324573378
